,SHOT_SIZE,CUSHION,INJ_PRESS,NZ_TEMP1,NZ_TEMP3,NZ_TEMP4,NZ_TEMP5,NZ_TEMP6,NZ_TEMP7,NZ_TEMP8,MOLD_TEMP_FIX,MOLD_TEMP_RES,HOT_RUN01,HOT_RUN02,HOT_RUN03,HOT_RUN04,HOT_RUN17,HOT_RUN18,HOT_RUN21,HOT_RUN22,HOT_RUN23,HOT_RUN24,WATER_FLOW1,WATER_FLOW2,WATER_FLOW3,WATER_FLOW4,THRAOT_WATER_FLOW,WATER_TEMP1,WATER_TEMP2,WATER_TEMP3,WATER_TEMP4,HOPPER_WATER_TEMP,ENERGY_PER_SHOT
cluster0,128.000206,11.57325094,113.6349813,214.8472097,190.143839,210.213427,225.0416854,230.0927903,224.9822659,36.2161985,33.23614232,33.42402622,197.6314607,223.1849813,232.5459176,231.6751873,231.6170037,233.4307116,196.107603,221.0440637,230.8556367,230.6203933,65.71505618,78.98692884,48.45947566,45.64129213,3.576404494,27.94507491,28.54200375,26.84891386,28.82207865,31.07621723,0.448732772
cluster1,128.0004989,11.36004535,113.6614512,214.853288,190.1662132,210.2020408,225.0528345,230.1124717,224.9870748,35.25419501,32.22222222,32.36485261,202.6981859,223.0668934,232.0755102,231.4560091,202.685941,223.7190476,229.51678,229.9240363,230.3739229,230.1269841,64.10362812,79.12426304,44.48117914,45.39138322,3.861451247,27.87913832,28.49274376,26.79387755,28.74943311,30.90521542,0.462975057
cluster2,128,12.00825384,113.48764,214.8577354,190.1512236,210.1984654,225.0505185,230.1014102,224.9906263,37.12413936,34.15632518,34.1973455,197.0143509,223.1613024,232.4918706,231.7845292,231.725591,233.5445044,194.5299046,221.0433015,230.8472833,230.6187889,73.60116134,86.29850684,48.39493986,45.78830361,4.000248859,28.00223973,28.61630029,26.90618001,28.84500207,31.16063874,0.437285359
cluster3,128,11.9567207,113.50088,214.8547013,190.1516906,210.2290412,225.0574803,230.0961556,224.98805,35.02538212,32.13399722,32.49587772,197.4215377,223.1675776,232.5170449,231.6091246,231.7219546,233.5150996,195.4685039,221.0497916,230.8569245,230.616906,73.37332098,86.23483094,49.11908291,45.89981473,3.697684113,27.8754516,28.50041686,26.79397869,28.61871237,30.95609078,0.437509958
cluster4,128,11.8193007,113.6244755,214.8550699,190.1555944,210.195979,225.0479021,230.1055944,224.9965035,37.23741259,34.26031469,34.23583916,202.7152098,233.3034965,232.3977273,231.5704545,202.7472028,233.4379371,201.0438811,230.7928322,230.8372378,230.6230769,73.50856643,86.48566434,48.31031469,46.53688811,5.317307692,28.01048951,28.61171329,26.90786713,28.84807692,30.56451049,0.437265734
cluster5,128,11.91939177,113.6053667,214.8506261,190.1567084,210.2067979,225.0556351,230.0985689,224.9887299,34.75080501,31.6744186,31.92021467,202.7069767,223.2740608,232.513059,232.0109123,202.5976744,223.2364937,220.8039356,230.8211091,230.8534884,230.6134168,66.19373882,78.44239714,44.4313059,45.23792487,3.659749553,25.88604651,26.61466905,24.92898032,26.90053667,30.77495528,0.462304114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SHOT_SIZE,CUSHION,INJ_PRESS,NZ_TEMP1,NZ_TEMP3,NZ_TEMP4,NZ_TEMP5,NZ_TEMP6,NZ_TEMP7,NZ_TEMP8,MOLD_TEMP_FIX,MOLD_TEMP_RES,HOT_RUN01,HOT_RUN02,HOT_RUN03,HOT_RUN04,HOT_RUN17,HOT_RUN18,HOT_RUN21,HOT_RUN22,HOT_RUN23,HOT_RUN24,WATER_FLOW1,WATER_FLOW2,WATER_FLOW3,WATER_FLOW4,THRAOT_WATER_FLOW,WATER_TEMP1,WATER_TEMP2,WATER_TEMP3,WATER_TEMP4,HOPPER_WATER_TEMP,ENERGY_PER_SHOT
cluster0,128.000206,11.57325094,113.6349813,214.8472097,190.143839,210.213427,225.0416854,230.0927903,224.9822659,36.2161985,33.23614232,33.42402622,197.6314607,223.1849813,232.5459176,231.6751873,231.6170037,233.4307116,196.107603,221.0440637,230.8556367,230.6203933,65.71505618,78.98692884,48.45947566,45.64129213,3.576404494,27.94507491,28.54200375,26.84891386,28.82207865,31.07621723,0.448732772
cluster3,128,11.9567207,113.50088,214.8547013,190.1516906,210.2290412,225.0574803,230.0961556,224.98805,35.02538212,32.13399722,32.49587772,197.4215377,223.1675776,232.5170449,231.6091246,231.7219546,233.5150996,195.4685039,221.0497916,230.8569245,230.616906,73.37332098,86.23483094,49.11908291,45.89981473,3.697684113,27.8754516,28.50041686,26.79397869,28.61871237,30.95609078,0.437509958
cluster2,128,12.00825384,113.48764,214.8577354,190.1512236,210.1984654,225.0505185,230.1014102,224.9906263,37.12413936,34.15632518,34.1973455,197.0143509,223.1613024,232.4918706,231.7845292,231.725591,233.5445044,194.5299046,221.0433015,230.8472833,230.6187889,73.60116134,86.29850684,48.39493986,45.78830361,4.000248859,28.00223973,28.61630029,26.90618001,28.84500207,31.16063874,0.437285359
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SHOT_SIZE,CUSHION,INJ_PRESS,NZ_TEMP1,NZ_TEMP3,NZ_TEMP4,NZ_TEMP5,NZ_TEMP6,NZ_TEMP7,NZ_TEMP8,MOLD_TEMP_FIX,MOLD_TEMP_RES,HOT_RUN01,HOT_RUN02,HOT_RUN03,HOT_RUN04,HOT_RUN17,HOT_RUN18,HOT_RUN21,HOT_RUN22,HOT_RUN23,HOT_RUN24,WATER_FLOW1,WATER_FLOW2,WATER_FLOW3,WATER_FLOW4,THRAOT_WATER_FLOW,WATER_TEMP1,WATER_TEMP2,WATER_TEMP3,WATER_TEMP4,HOPPER_WATER_TEMP,ENERGY_PER_SHOT
cluster1,128.0004989,11.36004535,113.6614512,214.853288,190.1662132,210.2020408,225.0528345,230.1124717,224.9870748,35.25419501,32.22222222,32.36485261,202.6981859,223.0668934,232.0755102,231.4560091,202.685941,223.7190476,229.51678,229.9240363,230.3739229,230.1269841,64.10362812,79.12426304,44.48117914,45.39138322,3.861451247,27.87913832,28.49274376,26.79387755,28.74943311,30.90521542,0.462975057
cluster4,128,11.8193007,113.6244755,214.8550699,190.1555944,210.195979,225.0479021,230.1055944,224.9965035,37.23741259,34.26031469,34.23583916,202.7152098,233.3034965,232.3977273,231.5704545,202.7472028,233.4379371,201.0438811,230.7928322,230.8372378,230.6230769,73.50856643,86.48566434,48.31031469,46.53688811,5.317307692,28.01048951,28.61171329,26.90786713,28.84807692,30.56451049,0.437265734
cluster5,128,11.91939177,113.6053667,214.8506261,190.1567084,210.2067979,225.0556351,230.0985689,224.9887299,34.75080501,31.6744186,31.92021467,202.7069767,223.2740608,232.513059,232.0109123,202.5976744,223.2364937,220.8039356,230.8211091,230.8534884,230.6134168,66.19373882,78.44239714,44.4313059,45.23792487,3.659749553,25.88604651,26.61466905,24.92898032,26.90053667,30.77495528,0.462304114
